Name,Card Link,Collector Number,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
Spoils of War,https://riftdecks.com/cards/details-spoils-of-war,OGN-144/298,uncommon,body,,spell,,,,,,,4,4,C,4C,,"[Reaction] (Play any time, even before spells and abilities resolve.)
If an enemy unit has died this turn, this costs [2] less.
Draw 2.","Riftbound Spell: Spoils of War. [Reaction] (Play any time, even before spells and abilities resolve.)
If an enemy unit has died this turn, this costs [2] less.
Draw 2.",
Unyielding Spirit,https://riftdecks.com/cards/details-unyielding-spirit,OGN-145/298,uncommon,body,,spell,,,,,,,1,1,C,1C,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Prevent all spell and ability damage this turn.","Riftbound Spell: Unyielding Spirit. [Reaction] (Play any time, even before spells and abilities resolve.)
Prevent all spell and ability damage this turn.",
Wallop,https://riftdecks.com/cards/details-wallop,OGN-146/298,uncommon,body,,spell,,,,,,,2,2,,2,,"[Action] (Play on your turn or in showdowns.)
As you play this, you may spend a buff as an additional cost.
Ready a unit.","Riftbound Spell: Wallop. [Action] (Play on your turn or in showdowns.)
As you play this, you may spend a buff as an additional cost.
Ready a unit.",
Wildclaw Shaman,https://riftdecks.com/cards/details-wildclaw-shaman,OGN-147/298,uncommon,body,,unit,freljord,,,,,,4,4,,4,3,"When you play me, you may spend a buff to buff me and ready me. (If I don't have a buff, I get a +1 [S] buff.)","Riftbound Unit: Wildclaw Shaman. When you play me, you may spend a buff to buff me and ready me. (If I don't have a buff, I get a +1 [S] buff.)",
"Anivia, Primal",https://riftdecks.com/cards/details-anivia-primal,OGN-148/298,rare,body,,unit,bird,anivia,freljord,,,champion,7,7,CC,7CC,8,"When I attack, deal 3 to all enemy units here.","Riftbound Unit: Anivia, Primal. When I attack, deal 3 to all enemy units here.",
Carnivorous Snapvine,https://riftdecks.com/cards/details-carnivorous-snapvine,OGN-149/298,rare,body,,unit,shadowisles,,,,,,5,5,CC,5CC,6,"When you play me, choose an enemy unit at a battlefield. We deal damage equal to our Mights to each other.","Riftbound Unit: Carnivorous Snapvine. When you play me, choose an enemy unit at a battlefield. We deal damage equal to our Mights to each other.",
Kraken Hunter,https://riftdecks.com/cards/details-kraken-hunter,OGN-150/298,rare,body,,unit,pirate,bilgewater,,,,,3,3,CC,3CC,5,"[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.) 
[Assault] (+1 [S] while I'm an attacker.) 
As you play me, you may spend any number of buffs as an additional cost. Reduce my cost by [C] for each buff you spend.","Riftbound Unit: Kraken Hunter. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.) [Assault] (+1 [S] while I'm an attacker.) As you play me, you may spend any number of buffs as an additional cost. Reduce my cost by [C] for each buff you spend.",
"Lee Sin, Centered",https://riftdecks.com/cards/details-lee-sin-centered,OGN-151a/298,showcase,body,,unit,leesin,ionia,,,,champion,6,6,,6,6,"[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.)
Other buffed friendly units at my battlefield have +2 [S].","Riftbound Unit: Lee Sin, Centered. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)",
Mistfall,https://riftdecks.com/cards/details-mistfall,OGN-152/298,rare,body,,gear,,,,,,,3,3,,3,,"When you buff a friendly unit, you may pay [C] and exhaust this to ready it.","Riftbound Gear: Mistfall. When you buff a friendly unit, you may pay [C] and exhaust this to ready it.",
Overt Operation,https://riftdecks.com/cards/details-overt-operation,OGN-153/298,rare,body,,spell,,,,,,,5,5,CC,5CC,,"[Action] (Play on your turn or in showdowns.)
For each friendly unit, you may spend its buff to ready it. Then buff all friendly units. (Each one that doesn't have a buff gets a +1 [S] buff.)","Riftbound Spell: Overt Operation. [Action] (Play on your turn or in showdowns.)
For each friendly unit, you may spend its buff to ready it. Then buff all friendly units. (Each one that doesn't have a buff gets a +1 [S] buff.)",
Primal Strength,https://riftdecks.com/cards/details-primal-strength,OGN-154/298,rare,body,,spell,,,,,,,4,4,C,4C,,"[Action] (Play on your turn or in showdowns.)
Give a unit +7 [S] this turn.","Riftbound Spell: Primal Strength. [Action] (Play on your turn or in showdowns.)
Give a unit +7 [S] this turn.",
"Qiyana, Victorious",https://riftdecks.com/cards/details-qiyana-victorious,OGN-155/298,rare,body,,unit,qiyana,ixtal,,,,champion,4,4,C,4C,4,"[Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
When I conquer, draw 1 or channel 1 rune exhausted.","Riftbound Unit: Qiyana, Victorious. [Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
When I conquer, draw 1 or channel 1 rune exhausted.",
Sabotage,https://riftdecks.com/cards/details-sabotage,OGN-156/298,rare,body,,spell,,,,,,,1,1,C,1C,,"Choose an opponent. They reveal their hand. Choose a non-unit card from it, and recycle that card.","Riftbound Spell: Sabotage. Choose an opponent. They reveal their hand. Choose a non-unit card from it, and recycle that card.",
"Udyr, Wildman",https://riftdecks.com/cards/details-udyr-wildman,OGN-157/298,rare,body,,unit,udyr,freljord,,,,champion,6,6,C,6C,6,"Spend my buff: Choose one you've not chosen this turn —
\* Deal 2 to a unit at a battlefield.
\* Stun a unit at a battlefield.
\* Ready me.
\* Give me [Ganking] this turn.","Riftbound Unit: Udyr, Wildman. Spend my buff: Choose one you've not chosen this turn —
* Deal 2 to a unit at a battlefield.
* Stun a unit at a battlefield.
* Ready me.
* Give me [Ganking] this turn.",
"Volibear, Imposing",https://riftdecks.com/cards/details-volibear-imposing,OGN-158a/298,showcase,body,,unit,volibear,freljord,,,,champion,12,12,CC,12CC,10,"[Shield 3] (+3 [S] while I'm a defender.)
[Tank] (I must be assigned combat damage first.)
When an opponent moves to a battlefield other than mine, draw 1. (Bases are not battlefield.)","Riftbound Unit: Volibear, Imposing. [Shield 3] (+3 [S] while I'm a defender.)
[Tank] (I must be assigned combat damage first.)
When an opponent moves to a battlefield other than mine, draw 1. (Bases are not battlefield.)",
"Warwick, Hunter",https://riftdecks.com/cards/details-warwick-hunter,OGN-159/298,rare,body,,unit,dog,warwick,zaun,,,champion,6,6,C,6C,5,"I enter ready.
When I attack, kill all damaged enemy units here.","Riftbound Unit: Warwick, Hunter. I enter ready.
When I attack, kill all damaged enemy units here.",
Dazzling Aurora,https://riftdecks.com/cards/details-dazzling-aurora,OGN-160/298,epic,body,,gear,,,,,,,9,9,CC,9CC,,"At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit. Play it, ignoring its cost, and recycle the rest.","Riftbound Gear: Dazzling Aurora. At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit. Play it, ignoring its cost, and recycle the rest.",
Deadbloom Predator,https://riftdecks.com/cards/details-deadbloom-predator,OGN-161/298,epic,body,,unit,shadowisles,,,,,,8,8,CC,8CC,8,"[Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
You may play me to an occupied enemy battlefield.","Riftbound Unit: Deadbloom Predator. [Deflect] (Opponents must pay [A] to choose me with a spell or ability.)
You may play me to an occupied enemy battlefield.",
"Miss Fortune, Captain",https://riftdecks.com/cards/details-miss-fortune-captain,OGN-162/298,epic,body,,unit,pirate,missfortune,bilgewater,,,champion,5,5,C,5C,5,"[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.)
[Ganking] (I can move from battlefield to battlefield.)
The first time I move each turn, you may ready something else that's exhausted.","Riftbound Unit: Miss Fortune, Captain. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)",
Cemetery Attendant,https://riftdecks.com/cards/details-cemetery-attendant,OGN-165/298,common,chaos,,unit,dog,shadowisles,,,,,3,3,C,3C,3,"When you play me, return a unit from your trash to your hand.","Riftbound Unit: Cemetery Attendant. When you play me, return a unit from your trash to your hand.",
Chaos Rune,https://riftdecks.com/cards/details-chaos-rune,OGN-166a/298,showcase,chaos,,rune,,,,,,basic,,,,-,,,Riftbound Rune: Chaos Rune.,
Ember Monk,https://riftdecks.com/cards/details-ember-monk,OGN-167/298,common,chaos,,unit,bandlecity,,,,,,4,4,,4,4,"When you play a card from [Hidden], give me +2 [S] this turn.","Riftbound Unit: Ember Monk. When you play a card from [Hidden], give me +2 [S] this turn.",
Fight or Flight,https://riftdecks.com/cards/details-fight-or-flight,OGN-168/298,common,chaos,,spell,,,,,,,2,2,,2,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Move a unit from a battlefield to its base.","Riftbound Spell: Fight or Flight. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Move a unit from a battlefield to its base.",
Gust,https://riftdecks.com/cards/details-gust,OGN-169/298,common,chaos,,spell,,,,,,,1,1,,1,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Return a unit at a battlefield with 3 [S] or less to its owner's hand.","Riftbound Spell: Gust. [Reaction] (Play any time, even before spells and abilities resolve.)
Return a unit at a battlefield with 3 [S] or less to its owner's hand.",
Morbid Return,https://riftdecks.com/cards/details-morbid-return,OGN-170/298,common,chaos,,spell,,,,,,,2,2,,2,,"[Action] (Play on your turn or in showdowns.)
Return a unit from your trash to your hand.","Riftbound Spell: Morbid Return. [Action] (Play on your turn or in showdowns.)
Return a unit from your trash to your hand.",
Mystic Poro,https://riftdecks.com/cards/details-mystic-poro,OGN-171/298,common,chaos,,unit,poro,,,,,,2,2,,2,2,"[Vision] (When you play me, look at the top card of your Main Deck. You may recycle it.)","Riftbound Unit: Mystic Poro. [Vision] (When you play me, look at the top card of your Main Deck. You may recycle it.)",
Rebuke,https://riftdecks.com/cards/details-rebuke,OGN-172/298,common,chaos,,spell,,,,,,,2,2,CC,2CC,,"[Action] (Play on your turn or in showdowns.)
Return a unit at a battlefield to its owner's hand.","Riftbound Spell: Rebuke. [Action] (Play on your turn or in showdowns.)
Return a unit at a battlefield to its owner's hand.",
Ride the Wind,https://riftdecks.com/cards/details-ride-the-wind,OGN-173/298,common,chaos,,spell,,,,,,,2,2,C,2C,,"[Action] (Play on your turn or in showdowns.)
Move a friendly unit and ready it.","Riftbound Spell: Ride the Wind. [Action] (Play on your turn or in showdowns.)
Move a friendly unit and ready it.",
Sai Scout,https://riftdecks.com/cards/details-sai-scout,OGN-174/298,common,chaos,,unit,shurima,,,,,,6,6,,6,5,"[Vision] (When you play me, look at the top card of your Main Deck. You may recycle it.)
You may play me to an open battlefield.","Riftbound Unit: Sai Scout. [Vision] (When you play me, look at the top card of your Main Deck. You may recycle it.)
You may play me to an open battlefield.",
Shipyard Skulker,https://riftdecks.com/cards/details-shipyard-skulker,OGN-175/298,common,chaos,,unit,pirate,bilgewater,,,,,3,3,,3,3,,Riftbound Unit: Shipyard Skulker.,
Sneaky Deckhand,https://riftdecks.com/cards/details-sneaky-deckhand,OGN-176/298,common,chaos,,unit,pirate,bilgewater,,,,,3,3,,3,2,You may play me to an open battlefield.,Riftbound Unit: Sneaky Deckhand. You may play me to an open battlefield.,
Stealthy Pursuer,https://riftdecks.com/cards/details-stealthy-pursuer,OGN-177/298,common,chaos,,unit,shurima,,,,,,4,4,C,4C,4,"When a friendly unit moves from my location, I may be moved with it.","Riftbound Unit: Stealthy Pursuer. When a friendly unit moves from my location, I may be moved with it.",
Undercover Agent,https://riftdecks.com/cards/details-undercover-agent,OGN-178/298,common,chaos,,unit,,,,,,,5,5,C,5C,5,"[Deathknell] — Discard 2, then draw 2. (When I die, get the effect.)","Riftbound Unit: Undercover Agent. [Deathknell] — Discard 2, then draw 2. (When I die, get the effect.)",
Acceptable Losses,https://riftdecks.com/cards/details-acceptable-losses,OGN-179/298,uncommon,chaos,,spell,,,,,,,1,1,,1,,"[Action] (Play on your turn or in showdowns.)
Each player kills one of their gear.","Riftbound Spell: Acceptable Losses. [Action] (Play on your turn or in showdowns.)
Each player kills one of their gear.",
Fading Memories,https://riftdecks.com/cards/details-fading-memories,OGN-180/298,uncommon,chaos,,spell,,,,,,,4,4,C,4C,,"Give a unit at a battlefield or a gear [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)","Riftbound Spell: Fading Memories. Give a unit at a battlefield or a gear [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)",
Pack of Wonders,https://riftdecks.com/cards/details-pack-of-wonders,OGN-181/298,uncommon,chaos,,gear,,,,,,,2,2,,2,,"[T]: Return another friendly gear, unit, or [Hidden] card to its owner's hand.","Riftbound Gear: Pack of Wonders. [T]: Return another friendly gear, unit, or [Hidden] card to its owner's hand.",
Scrapheap,https://riftdecks.com/cards/details-scrapheap,OGN-182/298,uncommon,chaos,,gear,,,,,,,2,2,,2,,"When this is played, discarded, or killed, draw 1.","Riftbound Gear: Scrapheap. When this is played, discarded, or killed, draw 1.",
Stacked Deck,https://riftdecks.com/cards/details-stacked-deck,OGN-183/298,uncommon,chaos,,spell,,,,,,,1,1,,1,,"[Action] (Play on your turn or in showdowns.)
Look at the top 3 cards of your Main Deck. Put 1 into your hand and recycle the rest.","Riftbound Spell: Stacked Deck. [Action] (Play on your turn or in showdowns.)
Look at the top 3 cards of your Main Deck. Put 1 into your hand and recycle the rest.",
The Syren,https://riftdecks.com/cards/details-the-syren,OGN-184/298,uncommon,chaos,,gear,,,,,,,2,2,,2,,"[1], [T]: Move a friendly unit at a battlefield to its base.","Riftbound Gear: The Syren. [1], [T]: Move a friendly unit at a battlefield to its base.",
Traveling Merchant,https://riftdecks.com/cards/details-traveling-merchant,OGN-185/298,uncommon,chaos,,unit,bilgewater,,,,,,2,2,,2,2,"When I move, discard 1, then draw 1.","Riftbound Unit: Traveling Merchant. When I move, discard 1, then draw 1.",
Treasure Trove,https://riftdecks.com/cards/details-treasure-trove,OGN-186/298,uncommon,chaos,,gear,,,,,,,2,2,,2,,"When this leaves the board, draw 1 and channel 1 rune exhausted.
[C], [T]: Kill this.","Riftbound Gear: Treasure Trove. When this leaves the board, draw 1 and channel 1 rune exhausted.
[C], [T]: Kill this.",
Whirlwind,https://riftdecks.com/cards/details-whirlwind,OGN-187/298,uncommon,chaos,,spell,,,,,,,3,3,C,3C,,"Starting with the next player, each player may return a unit to its owner's hand.","Riftbound Spell: Whirlwind. Starting with the next player, each player may return a unit to its owner's hand.",
Zaunite Bouncer,https://riftdecks.com/cards/details-zaunite-bouncer,OGN-188/298,uncommon,chaos,,unit,zaun,,,,,,4,4,CC,4CC,2,"When you play me, return another unit at a battlefield to its owner's hand.","Riftbound Unit: Zaunite Bouncer. When you play me, return another unit at a battlefield to its owner's hand.",
"Kayn, Unleashed",https://riftdecks.com/cards/details-kayn-unleashed,OGN-189/298,rare,chaos,,unit,kayn,ionia,,,,champion,6,6,C,6C,6,"[Ganking] (I can move from battlefield to battlefield.)
If I have moved twice this turn, I don't take damage.","Riftbound Unit: Kayn, Unleashed. [Ganking] (I can move from battlefield to battlefield.)
If I have moved twice this turn, I don't take damage.",
"Kog'Maw, Caustic",https://riftdecks.com/cards/details-kogmaw-caustic,OGN-190/298,rare,chaos,,unit,kogmaw,thevoid,,,,champion,3,3,C,3C,1,"[Deathknell] — Deal 4 to all units at my battlefield. (When I die, get the effect.)","Riftbound Unit: Kog'Maw, Caustic. [Deathknell] — Deal 4 to all units at my battlefield. (When I die, get the effect.)",
Maddened Marauder,https://riftdecks.com/cards/details-maddened-marauder,OGN-191/298,rare,chaos,,unit,pirate,bilgewater,,,,,5,5,,5,4,"[Tank] (I must be assigned combat damage first.)
When you play me, move a unit from a battlefield to its base.","Riftbound Unit: Maddened Marauder. [Tank] (I must be assigned combat damage first.)
When you play me, move a unit from a battlefield to its base.",
Mindsplitter,https://riftdecks.com/cards/details-mindsplitter,OGN-192/298,rare,chaos,,unit,dragon,mounttargon,,,,,7,7,CC,7CC,7,"When you play me, choose an opponent. They reveal their hand. Choose a card from it, and they discard that card.","Riftbound Unit: Mindsplitter. When you play me, choose an opponent. They reveal their hand. Choose a card from it, and they discard that card.",
"Miss Fortune, Buccaneer",https://riftdecks.com/cards/details-miss-fortune-buccaneer,OGN-193a/298,showcase,chaos,,unit,pirate,missfortune,bilgewater,,,champion,4,4,C,4C,4,"You may play me to an open battlefield. 
Friendly units may be played to open battlefields.","Riftbound Unit: Miss Fortune, Buccaneer. You may play me to an open battlefield. 
Friendly units may be played to open battlefields.",
"Nocturne, Horrifying",https://riftdecks.com/cards/details-nocturne-horrifying,OGN-194/298,rare,chaos,,unit,nocturne,,,,,champion,4,4,C,4C,4,"[Ganking] (I can move from battlefield to battlefield.)
When you look at cards from the top of your deck (and don't draw them) and see me, you may play me for [A].","Riftbound Unit: Nocturne, Horrifying. [Ganking] (I can move from battlefield to battlefield.)
When you look at cards from the top of your deck (and don't draw them) and see me, you may play me for [A].",
Rhasa the Sunderer,https://riftdecks.com/cards/details-rhasa-the-sunderer,OGN-195/298,rare,chaos,,unit,spirit,shadowisles,,,,,10,10,C,10C,6,I cost [1] less for each card in your trash.,Riftbound Unit: Rhasa the Sunderer. I cost [1] less for each card in your trash.,
Soulgorger,https://riftdecks.com/cards/details-soulgorger,OGN-196/298,rare,chaos,,unit,spirit,shadowisles,,,,,8,8,CC,8CC,5,"When you play me, you may play a unit from your trash, ignoring its Energy cost.)","Riftbound Unit: Soulgorger. When you play me, you may play a unit from your trash, ignoring its Energy cost.)",
"Teemo, Scout",https://riftdecks.com/cards/details-teemo-scout,OGN-197/298,rare,chaos,,unit,yordle,teemo,bandlecity,,,champion,2,2,,2,1,"[Hidden] (Hide now for [A] to react with later for [0].)
When you play me, give me +3 [S] this turn.","Riftbound Unit: Teemo, Scout. [Hidden] (Hide now for [A] to react with later for [0].)
When you play me, give me +3 [S] this turn.",
The Harrowing,https://riftdecks.com/cards/details-the-harrowing,OGN-198/298,rare,chaos,,spell,,,,,,,6,6,CC,6CC,,"Play a unit from your trash, ignoring its Energy cost.)","Riftbound Spell: The Harrowing. Play a unit from your trash, ignoring its Energy cost.)",
Tideturner,https://riftdecks.com/cards/details-tideturner,OGN-199/298,rare,chaos,,unit,bilgewater,,,,,,2,2,,2,2,"[Hidden] (Hide now for [A] to react with later for [0].)
When you play me, you may choose a unit you control. Move me to its location and it to my original location.","Riftbound Unit: Tideturner. [Hidden] (Hide now for [A] to react with later for [0].)
When you play me, you may choose a unit you control. Move me to its location and it to my original location.",
"Twisted Fate, Gambler",https://riftdecks.com/cards/details-twisted-fate-gambler,OGN-200/298,rare,chaos,,unit,twistedfate,bilgewater,,,,champion,4,4,,4,4,"When I attack, reveal the top rune of your rune deck, then recycle it. Do one of the following based on its domain:
\* [R] — Deal 2 to an enemy unit here and 1 to all other enemy units here.
\* [B] — Draw 1.
\* [Y] — Stun an enemy unit.","Riftbound Unit: Twisted Fate, Gambler. When I attack, reveal the top rune of your rune deck, then recycle it. Do one of the following based on its domain:
* [R] — Deal 2 to an enemy unit here and 1 to all other enemy units here.
* [B] — Draw 1.
* [Y] — Stun an enemy unit.",
Invert Timelines,https://riftdecks.com/cards/details-invert-timelines,OGN-201/298,epic,chaos,,spell,,,,,,,3,3,C,3C,,"Each player discards their hand, then draws 4.","Riftbound Spell: Invert Timelines. Each player discards their hand, then draws 4.",
"Jinx, Rebel",https://riftdecks.com/cards/details-jinx-rebel,OGN-202/298,epic,chaos,,unit,jinx,zaun,,,,champion,5,5,C,5C,5,"When you discard one or more cards, ready me and give me +1 [S] this turn.","Riftbound Unit: Jinx, Rebel. When you discard one or more cards, ready me and give me +1 [S] this turn.",
Possession,https://riftdecks.com/cards/details-possession,OGN-203/298,epic,chaos,,spell,,,,,,,8,8,CCC,8CCC,,"[Action] (Play on your turn or in showdowns.)
Choose an enemy unit at a battlefield. Take control of it and recall it. (Send it to your base. This isn't a move.)","Riftbound Spell: Possession. [Action] (Play on your turn or in showdowns.)
Choose an enemy unit at a battlefield. Take control of it and recall it. (Send it to your base. This isn't a move.)",
Back to Back,https://riftdecks.com/cards/details-back-to-back,OGN-206/298,common,order,,spell,,,,,,,3,3,,3,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give two friendly units each +2 [S] this turn.","Riftbound Spell: Back to Back. [Reaction] (Play any time, even before spells and abilities resolve.)
Give two friendly units each +2 [S] this turn.",
Call to Glory,https://riftdecks.com/cards/details-call-to-glory,OGN-207/298,common,order,,spell,,,,,,,3,3,,3,,"[Reaction] (Play any time, even before spells and abilities resolve.)
As you play this, you may spend a buff as an additional cost.
Give a unit +3 [S] this turn.","Riftbound Spell: Call to Glory. [Reaction] (Play any time, even before spells and abilities resolve.)
As you play this, you may spend a buff as an additional cost.
Give a unit +3 [S] this turn.",
Cruel Patron,https://riftdecks.com/cards/details-cruel-patron,OGN-208/298,common,order,,unit,noxus,,,,,,4,4,,4,6,"As an additional cost to play me, kill a friendly unit.","Riftbound Unit: Cruel Patron. As an additional cost to play me, kill a friendly unit.",
Cull the Weak,https://riftdecks.com/cards/details-cull-the-weak,OGN-209/298,common,order,,spell,,,,,,,2,2,C,2C,,Each player kills one of their units.,Riftbound Spell: Cull the Weak. Each player kills one of their units.,
Daring Poro,https://riftdecks.com/cards/details-daring-poro,OGN-210/298,common,order,,unit,poro,,,,,,2,2,,2,2,[Assault] (+1 [S] while I'm an attacker.),Riftbound Unit: Daring Poro. [Assault] (+1 [S] while I'm an attacker.),
Faithful Manufactor,https://riftdecks.com/cards/details-faithful-manufactor,OGN-211/298,common,order,,unit,piltover,,,,,,3,3,,3,2,"When you play me, play a 1 [S] Recruit unit token here.","Riftbound Unit: Faithful Manufactor. When you play me, play a 1 [S] Recruit unit token here.",
Forge of the Future,https://riftdecks.com/cards/details-forge-of-the-future,OGN-212/298,common,order,,gear,,,,,,,2,2,,2,,"When you play this, play a 1 [S] Recruit unit token at your base.
Kill this: Recycle up to 4 cards from trashes.","Riftbound Gear: Forge of the Future. When you play this, play a 1 [S] Recruit unit token at your base.
Kill this: Recycle up to 4 cards from trashes.",
Hidden Blade,https://riftdecks.com/cards/details-hidden-blade,OGN-213/298,common,order,,spell,,,,,,,2,2,C,2C,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield. Its controller draws 2.","Riftbound Spell: Hidden Blade. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield. Its controller draws 2.",
Order Rune,https://riftdecks.com/cards/details-order-rune,OGN-214/298,common,order,,rune,,,,,,basic,,,,-,,,Riftbound Rune: Order Rune.,
Petty Officer,https://riftdecks.com/cards/details-petty-officer,OGN-215/298,common,order,,unit,pirate,bilgewater,,,,,5,5,,5,5,[Assault] (+1 [S] while I'm an attacker.),Riftbound Unit: Petty Officer. [Assault] (+1 [S] while I'm an attacker.),
Soaring Scout,https://riftdecks.com/cards/details-soaring-scout,OGN-216/298,common,order,,unit,bird,freljord,,,,,2,2,,2,1,"[Deathknell] — Channel 1 rune exhausted. (When I die, get the effect.)","Riftbound Unit: Soaring Scout. [Deathknell] — Channel 1 rune exhausted. (When I die, get the effect.)",
Trifarian Gloryseeker,https://riftdecks.com/cards/details-trifarian-gloryseeker,OGN-217/298,common,order,,unit,trifarian,noxus,,,,,2,2,,2,2,"[Legion] — When you play me, buff me. (If I don't have a buff, I get a +1 [S] buff. Get the effect if you've played another card this turn.)","Riftbound Unit: Trifarian Gloryseeker. [Legion] — When you play me, buff me. (If I don't have a buff, I get a +1 [S] buff. Get the effect if you've played another card this turn.)",
Vanguard Captain,https://riftdecks.com/cards/details-vanguard-captain,OGN-218/298,common,order,,unit,elite,demacia,,,,,3,3,C,3C,3,"[Legion] — When you play me, play two 1 [S] Recruit unit tokens here. (Get the effect if you've played another card this turn.)","Riftbound Unit: Vanguard Captain. [Legion] — When you play me, play two 1 [S] Recruit unit tokens here. (Get the effect if you've played another card this turn.)",
Vanguard Sergeant,https://riftdecks.com/cards/details-vanguard-sergeant,OGN-219/298,common,order,,unit,elite,demacia,,,,,4,4,,4,4,,Riftbound Unit: Vanguard Sergeant.,
Facebreaker,https://riftdecks.com/cards/details-facebreaker,OGN-220/298,uncommon,order,,spell,,,,,,,2,2,,2,,"[Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Stun a friendly unit and an enemy unit at the same battlefield. (They don't deal combat damage this turn.)","Riftbound Spell: Facebreaker. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)
Stun a friendly unit and an enemy unit at the same battlefield. (They don't deal combat damage this turn.)",
Imperial Decree,https://riftdecks.com/cards/details-imperial-decree,OGN-221/298,uncommon,order,,spell,,,,,,,5,5,CC,5CC,,"[Action] (Play on your turn or in showdowns.)
When any unit takes damage this turn, kill it.","Riftbound Spell: Imperial Decree. [Action] (Play on your turn or in showdowns.)
When any unit takes damage this turn, kill it.",
Noxian Drummer,https://riftdecks.com/cards/details-noxian-drummer,OGN-222/298,uncommon,order,,unit,trifarian,noxus,,,,,3,3,,3,3,"When I move to a battlefield, play a 1 [S] Recruit unit token here. (It is also at the battlefield.)","Riftbound Unit: Noxian Drummer. When I move to a battlefield, play a 1 [S] Recruit unit token here. (It is also at the battlefield.)",
Peak Guardian,https://riftdecks.com/cards/details-peak-guardian,OGN-223/298,uncommon,order,,unit,mounttargon,,,,,,6,6,C,6C,5,"When you play me, buff me. Then, if I am at a battlefield, buff all other friendly units there. (To buff a unit, give it a +1 [S] buff if it doesn't already have one.)","Riftbound Unit: Peak Guardian. When you play me, buff me. Then, if I am at a battlefield, buff all other friendly units there. (To buff a unit, give it a +1 [S] buff if it doesn't already have one.)",
Salvage,https://riftdecks.com/cards/details-salvage,OGN-224/298,uncommon,order,,spell,,,,,,,2,2,C,2C,,"[Action] (Play on your turn or in showdowns.)
You may kill a gear. Draw 1.","Riftbound Spell: Salvage. [Action] (Play on your turn or in showdowns.)
You may kill a gear. Draw 1.",
Solari Chief,https://riftdecks.com/cards/details-solari-chief,OGN-225/298,uncommon,order,,unit,mounttargon,,,,,,5,5,C,5C,4,"When you play me, choose an enemy unit. If it is stunned, kill it. Otherwise, stun it. (It doesn't deal combat damage this turn.)","Riftbound Unit: Solari Chief. When you play me, choose an enemy unit. If it is stunned, kill it. Otherwise, stun it. (It doesn't deal combat damage this turn.)",
Spectral Matron,https://riftdecks.com/cards/details-spectral-matron,OGN-226/298,uncommon,order,,unit,spirit,shadowisles,,,,,4,4,CC,4CC,4,"When you play me, you may play a unit costing no more than [3] and no more than [A] from your trash, ignoring its cost.","Riftbound Unit: Spectral Matron. When you play me, you may play a unit costing no more than [3] and no more than [A] from your trash, ignoring its cost.",
Symbol of the Solari,https://riftdecks.com/cards/details-symbol-of-the-solari,OGN-227/298,uncommon,order,,gear,,,,,,,1,1,,1,,"If a combat where you are the attacker ends in a tie, recall ALL units instead. (Send them to base. This isn't a move. Ties are calculated after combat damage is dealt.)","Riftbound Gear: Symbol of the Solari. If a combat where you are the attacker ends in a tie, recall ALL units instead. (Send them to base. This isn't a move. Ties are calculated after combat damage is dealt.)",
Vanguard Helm,https://riftdecks.com/cards/details-vanguard-helm,OGN-228/298,uncommon,order,,gear,,,,,,,2,2,,2,,"When a buffed friendly unit dies, buff another friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)","Riftbound Gear: Vanguard Helm. When a buffed friendly unit dies, buff another friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)",
Vengeance,https://riftdecks.com/cards/details-vengeance,OGN-229/298,uncommon,order,,spell,,,,,,,4,4,CC,4CC,,Kill a unit.,Riftbound Spell: Vengeance. Kill a unit.,
